#{"t_start": 1760920547.4337075, "env_id": "None"}
r,l,t
-0.510932,2482,2.100392
-0.540821,2482,3.686757
0.466066,2482,4.818747
-0.074971,2482,6.350113
-0.230477,2482,7.818286
-0.433207,2482,8.959919
-0.326515,2482,10.505977
0.816365,2482,11.615875
-1.190678,2482,13.210328
0.10567,2482,14.686331
0.525913,2482,15.814688
-0.135811,2482,17.350443
-0.191801,2482,18.44454
0.471345,2482,19.959174
-0.350297,2482,21.45857
0.754256,2482,22.568311
0.125182,2482,24.083753
0.28709,2482,25.19452
0.5402,2482,26.693195
0.424503,2482,28.20497
0.842684,2482,29.302278
1.001679,2482,30.818387
1.043235,2482,31.917053
0.706985,2482,33.397541
1.24404,2482,34.899943
1.998035,2482,35.989956
0.577526,2482,37.50596
0.295779,2482,38.599628
1.761915,2482,40.114978
1.154662,2482,41.662841
1.138534,2482,42.75668
0.359032,2482,44.272378
1.125249,2482,45.391738
0.892267,2482,46.892476
0.742265,2482,48.393326
1.735985,2482,49.498108
1.295804,2482,51.004365
2.152212,2482,52.523843
2.354893,2482,53.665046
1.760764,2482,55.166654
1.881628,2482,56.275926
2.350218,2482,57.787184
2.592492,2482,59.307431
2.422951,2482,60.428079
2.406681,2482,61.942845
2.833993,2482,63.053161
1.759753,2482,64.584296
1.961977,2482,66.101883
2.540882,2482,67.20874
2.468364,2482,68.69391
2.28935,2482,69.802882
2.554394,2482,71.292943
2.690229,2482,72.799243
2.487396,2482,73.919054
2.93594,2482,75.423326
2.655709,2482,76.53726
2.787779,2482,78.052346
2.925475,2482,79.579062
2.71908,2482,80.675347
2.130066,2482,82.200268
2.799685,2482,83.299162
3.097666,2482,84.805991
2.652966,2482,86.303473
2.658282,2482,87.413223
2.770711,2482,88.897736
2.827699,2482,89.990383
3.384581,2482,91.505399
3.277516,2482,93.061848
3.083756,2482,94.180156
3.312315,2482,95.677903
3.35514,2482,97.145777
3.371963,2482,98.302362
3.077268,2482,99.834312
2.621325,2482,100.96431
3.147914,2482,102.454517
3.643209,2482,103.947498
3.118882,2482,105.094859
3.360381,2482,106.599933
3.267692,2482,107.723798
3.491628,2482,109.225192
3.040813,2482,110.758813
3.492066,2482,111.867584
3.629742,2482,113.362628
3.763424,2482,114.470987
3.807151,2482,115.990767
3.739441,2482,117.474821
3.292575,2482,118.584037
3.846604,2482,120.113719
3.395963,2482,121.213377
4.03157,2482,122.721184
3.353427,2482,124.250923
3.350413,2482,125.355299
3.792739,2482,126.855121
4.26632,2482,127.974865
3.720614,2482,129.487575
3.909767,2482,131.021689
4.344526,2482,132.140187
4.143238,2482,133.679789
3.80228,2482,134.762782
4.061483,2482,136.271204
3.964664,2482,137.77021
4.038688,2482,138.868969
4.049332,2482,140.365624
4.249062,2482,141.834595
3.80337,2482,143.019049
3.949736,2482,144.522079
3.925415,2482,145.615689
4.442142,2482,147.142807
4.193055,2482,148.64687
4.156495,2482,149.834395
3.975894,2482,151.35023
4.168891,2482,152.474396
5.172443,2482,153.991243
4.152364,2482,155.518431
4.483311,2482,156.635275
4.256595,2482,158.162412
3.984539,2482,159.298832
4.337406,2482,160.813673
4.22329,2482,162.350442
4.242647,2482,163.459214
4.4186,2482,164.966553
4.425484,2482,166.087914
4.470945,2482,167.604148
4.45375,2482,169.184891
4.331393,2482,170.289944
4.722103,2482,171.809561
4.338806,2482,172.926654
4.754631,2482,174.441195
4.742347,2482,175.954689
4.541407,2482,177.053066
4.7466,2482,178.730345
4.334192,2482,179.881089
5.023693,2482,181.382008
5.013195,2482,182.914142
5.079524,2482,184.01556
4.712174,2482,185.522006
5.1434,2482,186.992176
5.005035,2482,188.160127
4.821842,2482,189.677337
5.146107,2482,190.791348
5.339405,2482,192.319549
5.046339,2482,193.818411
4.901925,2482,194.960317
5.029912,2482,196.5
5.402464,2482,197.60317
5.073791,2482,199.132321
5.586714,2482,200.668893
5.235488,2482,201.786636
4.931301,2482,203.302947
5.334011,2482,204.415665
5.522192,2482,205.929684
5.294323,2482,207.458453
4.89876,2482,208.584293
5.181391,2482,210.100136
5.450609,2482,211.308918
5.663395,2482,212.913393
5.192846,2482,214.511112
5.517984,2482,215.653671
5.67853,2482,217.162328
5.714534,2482,218.287254
5.83057,2482,219.866184
5.602999,2482,221.406559
5.320237,2482,222.506834
5.463897,2482,224.005404
5.656192,2482,225.115585
6.392587,2482,226.631448
5.659334,2482,228.143853
5.86639,2482,229.240626
6.007122,2482,230.762123
5.739783,2482,232.255586
6.113884,2482,233.396484
5.824931,2482,234.920709
5.567921,2482,236.037521
5.796309,2482,237.584516
6.370246,2482,239.376355
6.185393,2482,240.913327
5.892534,2482,242.840308
5.862621,2482,244.349438
6.264909,2482,246.542638
6.136593,2482,248.665478
6.24803,2482,250.060298
6.380231,2482,251.861786
6.229542,2482,253.335151
6.26082,2482,255.05984
6.435254,2482,256.818826
6.574478,2482,258.232752
6.607153,2482,259.991129
6.852258,2482,261.485177
6.963037,2482,263.350325
6.797171,2482,265.117314
6.579048,2482,266.49023
6.459909,2482,268.239717
6.638587,2482,269.495493
6.916024,2482,271.267603
6.378315,2482,273.047796
6.744961,2482,274.470429
6.656454,2482,276.287012
6.801682,2482,277.599543
6.439252,2482,279.416979
6.769696,2482,281.224176
7.008716,2482,282.569915
6.638408,2482,284.357014
