rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/learning_rate
2482.0,1,-0.510932,2096,1,4096,,,,,,,,,,
2482.0,2,-0.19522900000000007,1916,4,8192,-0.003500698640709743,-1.0980315804481506,0.0017905311,-15.487118,0.09874344635754824,9.765625e-05,10,0.2,0.0021801888942718506,0.0003
2482.0,3,-0.16516450000000005,1890,6,12288,-0.006948754898621701,-1.0938714191317558,0.0043272953,-5.460487,0.020324909896589815,0.0070556640625,20,0.2,6.298907101154327e-05,0.0003
2482.0,4,-0.22072366666666668,1876,8,16384,-0.006168658661772497,-1.0850618839263917,0.00389567,-8.137189,0.015938836662098766,0.0060302734375,30,0.2,-0.013134653680026531,0.0003
2482.0,5,-0.10431150000000002,1859,11,20480,-0.007479151969891973,-1.0727918595075607,0.0057586366,-8.920449,0.01075102286413312,0.01513671875,40,0.2,-0.015938078984618187,0.0003
2482.0,6,-0.2250188888888889,1848,13,24576,-0.009560922507080249,-1.0576539859175682,0.0058978647,-9.105487,0.008728399046231062,0.0255615234375,50,0.2,-0.02584719844162464,0.0003
2482.0,7,-0.1266897272727273,1846,15,28672,-0.010297789765172639,-1.0350009471178054,0.007984376,-7.549899,0.007369162829127163,0.0356201171875,60,0.2,-0.023203354328870773,0.0003
2482.0,8,-0.13239992307692308,1844,17,32768,-0.008861867745872587,-1.017316184937954,0.006433798,-6.736782,0.005570147815160453,0.02216796875,70,0.2,-0.020687507465481758,0.0003
2482.0,9,-0.08927528571428571,1843,19,36864,-0.007546030613593757,-0.9992838472127914,0.005652404,-5.8397613,0.0047066774975974114,0.0182861328125,80,0.2,-0.008648797869682312,0.0003
2482.0,10,-0.05286843749999999,1842,22,40960,-0.009325219312449918,-0.9834000512957572,0.0059761,-3.6222534,0.004457809997256845,0.0271240234375,90,0.2,-0.022240543738007545,0.0003
2482.0,11,-0.024090166666666656,1841,24,45056,-0.010942830343265087,-0.9673514224588871,0.0069538387,-3.1912794,0.0034535654180217535,0.0382568359375,100,0.2,-0.02492547407746315,0.0003
2482.0,12,0.005609315789473695,1841,26,49152,-0.008867696486413479,-0.9670627236366272,0.005395039,-3.456255,0.0033000730094499887,0.0260498046875,110,0.2,-0.021084144711494446,0.0003
2482.0,13,0.06541733333333334,1842,28,53248,-0.007439291855553165,-0.9577713169157505,0.0049474468,-1.9780009,0.003021517736488022,0.01806640625,120,0.2,-0.017370348796248436,0.0003
2482.0,14,0.1486381739130435,1843,31,57344,-0.00946923922165297,-0.9523572221398353,0.005728272,-1.1127901,0.0027180968725588174,0.0254150390625,130,0.2,-0.02132665552198887,0.0003
2482.0,15,0.17190262499999998,1843,33,61440,-0.00866288713295944,-0.9342971190810203,0.0057875514,-1.1246533,0.0025587644660845397,0.0260498046875,140,0.2,-0.020746475085616112,0.0003
2482.0,16,0.2833745384615384,1844,35,65536,-0.008743723016232252,-0.9177194640040398,0.0051839645,-0.48375213,0.0024383700714679436,0.02119140625,150,0.2,-0.020894864574074745,0.0003
2482.0,17,0.29432296428571425,1844,37,69632,-0.007876893576758448,-0.9186518616974354,0.0050477013,-0.7569884,0.0020764671309734693,0.022314453125,160,0.2,-0.015440629795193672,0.0003
2482.0,18,0.3449295862068965,1842,40,73728,-0.009147014463087544,-0.9071084886789322,0.0057550576,-0.80222106,0.0018092621510731987,0.0341064453125,170,0.2,-0.011156808584928513,0.0003
2482.0,19,0.39665012903225805,1841,42,77824,-0.011142717010807246,-0.8982375957071781,0.007144908,0.066802144,0.002810340895666741,0.0471435546875,180,0.2,-0.026169637218117714,0.0003
2482.0,20,0.41758893939393943,1841,44,81920,-0.009139935768325813,-0.8843299850821496,0.0063739186,0.04807651,0.0023787056052242406,0.0345947265625,190,0.2,-0.024688180536031723,0.0003
