time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1225.0,-0.076246,2,1782,,,,,,,,,,
2,8192,1225.0,-0.22547933333333328,5,1421,-0.0012004468590021133,0.0031739725,-1.097642032802105,0.001953125,0.2,-0.0055245119001483545,10,-15.77051,0.0003,0.117158406926319
3,12288,1225.0,-0.2100035,8,1384,-0.012474160641431808,0.0027292655,-1.0940404385328293,0.000537109375,0.2,-0.0046780432516243305,20,-3.7292037,0.0003,0.01987561708083376
4,16384,1225.0,-0.23873753846153847,12,1267,-0.022943979129195213,0.0057054204,-1.087848137319088,0.0138427734375,0.2,-0.00765589184302371,30,-5.006173,0.0003,0.01278634851332754
5,20480,1225.0,-0.17676799999999998,16,1242,-0.013101618736982346,0.004134425,-1.0800190821290017,0.005224609375,0.2,-0.005791523015068379,40,-7.9719267,0.0003,0.008949984726496042
6,24576,1225.0,-0.1376933,19,1231,-0.011586559005081654,0.005536547,-1.075801046192646,0.01240234375,0.2,-0.007773885509232059,50,-7.261071,0.0003,0.006608524633338675
7,28672,1225.0,-0.1299275652173913,22,1267,-0.014315944164991379,0.006497919,-1.065699690580368,0.016796875,0.2,-0.008222144146566279,60,-6.208014,0.0003,0.0050552846165373925
8,32768,1225.0,-0.11005526923076922,25,1287,-0.02375803142786026,0.00576529,-1.0505194649100305,0.018115234375,0.2,-0.007403845389490016,70,-5.6098905,0.0003,0.004098505154252053
9,36864,1225.0,-0.08621829999999998,28,1313,-0.01021239161491394,0.006519966,-1.0389304980635643,0.0192626953125,0.2,-0.007404397267964669,80,-4.7118707,0.0003,0.003371839597821236
10,40960,1225.0,-0.07272569696969698,30,1329,-0.018545150756835938,0.007164413,-1.0267921581864357,0.0369384765625,0.2,-0.009239594620885328,90,-3.8190088,0.0003,0.0029125833767466246
11,45056,1225.0,-0.06081800000000001,33,1336,-0.01490599662065506,0.0064733056,-1.018100990355015,0.0267333984375,0.2,-0.008438708301400765,100,-3.3663907,0.0003,0.002341176354093477
12,49152,1225.0,-0.021537875,36,1352,-0.017087558284401894,0.0073511535,-1.0102754041552544,0.026953125,0.2,-0.008244820692925713,110,-3.7106147,0.0003,0.002010172094742302
13,53248,1225.0,-0.008046697674418606,38,1366,-0.023771272972226143,0.0070833713,-0.9984838686883449,0.0327880859375,0.2,-0.009343916474608704,120,-2.3560655,0.0003,0.0017733441927703097
