#{"t_start": 1760928206.7896576, "env_id": "None"}
r,l,t
-0.185908,1226,0.912447
0.423472,1226,1.661677
-0.077176,1226,2.312892
0.508707,1226,3.550002
0.295132,1226,4.252496
-0.215935,1226,4.961241
-0.426683,1226,6.152081
0.171567,1226,7.117446
-0.295465,1226,7.851447
0.129498,1226,8.735492
-0.868492,1226,9.95224
0.10661,1226,10.703141
-0.275422,1226,11.603185
-0.099476,1226,12.929658
0.137115,1226,13.675609
0.402434,1226,14.523258
0.078115,1226,15.705268
0.233683,1226,16.572206
0.46849,1226,17.448915
0.399229,1226,18.374745
1.030179,1226,19.684323
0.629986,1226,20.573052
1.252132,1226,21.314662
0.17748,1226,22.613214
0.706591,1226,23.444998
0.324684,1226,24.117048
0.566357,1226,25.316227
0.528497,1226,25.99193
0.853906,1226,26.668196
0.805149,1226,27.314685
0.832028,1226,28.401115
1.153749,1226,29.090215
1.38008,1226,29.787553
1.355953,1226,30.951815
1.51174,1226,31.602437
0.836081,1226,32.229987
0.366722,1226,33.258964
1.101716,1226,33.8587
1.383184,1226,34.522757
1.54175,1226,35.14731
1.436615,1226,36.197329
1.301629,1226,36.790662
1.243143,1226,37.378033
1.304041,1226,38.420801
1.115211,1226,39.055035
1.9139,1226,39.730408
1.074462,1226,40.775395
1.511978,1226,41.356761
1.016543,1226,41.993866
2.000015,1226,42.619518
1.739203,1226,43.808566
0.925611,1226,44.443157
1.712385,1226,45.112023
1.102693,1226,46.358166
1.870372,1226,47.301733
1.957925,1226,48.18163
1.51526,1226,49.37143
1.576776,1226,50.274752
2.168129,1226,50.999851
1.849433,1226,51.783621
1.693243,1226,53.032135
1.92059,1226,53.84347
1.639756,1226,54.476163
1.725715,1226,55.671999
1.634826,1226,56.48098
1.921521,1226,57.228068
2.037003,1226,58.368626
2.380084,1226,59.274762
2.079619,1226,60.020144
1.856441,1226,60.770093
1.416257,1226,61.969154
2.428892,1226,62.898814
2.063233,1226,63.825482
2.035888,1226,65.095418
2.05344,1226,66.006182
2.574109,1226,66.744441
1.776749,1226,67.82796
2.424208,1226,68.733338
1.796907,1226,69.445202
2.124391,1226,70.197882
2.771336,1226,71.534119
2.134461,1226,72.302126
2.434677,1226,72.97901
2.881413,1226,74.096567
2.406423,1226,75.008076
2.363301,1226,75.769352
2.502123,1226,76.94658
2.332629,1226,77.836273
2.626886,1226,78.588816
2.194092,1226,79.225266
2.84802,1226,80.658497
2.62823,1226,81.439208
2.623506,1226,82.13904
2.457243,1226,83.318672
2.812541,1226,84.282817
2.524151,1226,85.226656
2.873463,1226,86.515556
2.607415,1226,87.468031
2.613774,1226,88.202789
2.647351,1226,88.913533
2.702238,1226,90.30655
2.983299,1226,91.144394
2.572417,1226,91.952702
2.713694,1226,93.392217
2.984246,1226,94.169317
2.690958,1226,94.912848
2.685997,1226,95.997158
2.792969,1226,96.94937
2.869606,1226,97.701324
2.954897,1226,98.52744
2.701705,1226,99.802227
2.942829,1226,100.452441
3.035717,1226,101.138891
2.852973,1226,102.277258
2.837245,1226,103.114081
3.047821,1226,103.832986
3.011135,1226,105.128112
3.154185,1226,106.068047
3.280328,1226,106.770023
2.974706,1226,107.546878
3.019529,1226,108.744429
2.853093,1226,109.526668
2.610645,1226,110.23494
3.091392,1226,111.382762
3.079837,1226,112.207073
2.953476,1226,112.928808
2.895241,1226,114.037937
2.887041,1226,114.971961
3.131387,1226,115.790008
3.004946,1226,116.569952
3.212476,1226,117.700609
2.922835,1226,118.500967
3.475606,1226,119.271392
3.590921,1226,120.692994
3.126485,1226,121.627399
3.277389,1226,122.324523
3.208518,1226,123.52958
3.331749,1226,124.447709
3.091991,1226,125.136176
3.290081,1226,125.754555
3.412531,1226,126.996294
3.51278,1226,127.6799
3.283514,1226,128.400332
3.324873,1226,129.617444
3.212706,1226,130.49378
3.076861,1226,131.224087
3.288582,1226,132.022266
3.622736,1226,133.303431
3.224816,1226,134.202312
3.593417,1226,134.91283
3.537,1226,136.327474
3.508416,1226,137.279539
3.459489,1226,138.04988
3.427232,1226,139.36202
3.747794,1226,140.234277
3.622917,1226,140.983618
3.184464,1226,141.96738
3.626519,1226,143.446423
3.48124,1226,144.299542
3.583427,1226,145.001399
3.521992,1226,146.340459
3.604047,1226,147.119581
3.5056,1226,147.840878
3.495299,1226,149.15547
3.662202,1226,150.021711
3.705617,1226,150.710196
3.801264,1226,151.48743
3.852752,1226,152.827443
3.801987,1226,153.508771
3.645279,1226,154.246452
3.815677,1226,155.523375
3.753728,1226,156.276913
3.407488,1226,157.067
3.838805,1226,158.203291
3.71417,1226,158.969711
3.664067,1226,159.724211
3.946319,1226,160.43184
3.761945,1226,161.554662
3.783361,1226,162.29292
3.8997,1226,163.114223
3.774595,1226,164.288407
3.857984,1226,165.025456
3.658204,1226,165.741336
3.697034,1226,166.903438
3.999064,1226,167.591935
3.924353,1226,168.370951
3.890678,1226,169.189882
3.992168,1226,170.4545
4.146658,1226,171.22026
3.773859,1226,172.066697
4.132898,1226,173.190387
3.954257,1226,173.912259
4.12727,1226,174.54498
4.101474,1226,175.670537
4.101055,1226,176.436125
4.11259,1226,177.246777
4.109894,1226,178.070543
3.867311,1226,179.177035
4.017444,1226,179.793481
4.221623,1226,180.500111
4.197925,1226,181.616387
4.090963,1226,182.425568
4.027448,1226,183.280706
4.127612,1226,184.370683
4.155052,1226,185.056379
4.305155,1226,185.867846
4.304461,1226,186.545688
3.798677,1226,187.644836
4.315331,1226,188.291733
4.434394,1226,188.979272
4.412056,1226,190.065774
4.409149,1226,190.737628
4.422463,1226,191.430915
4.375515,1226,192.460837
4.313167,1226,193.117069
4.611527,1226,193.825309
4.248209,1226,194.580849
4.589909,1226,195.754728
4.338944,1226,196.666321
4.456751,1226,197.353978
4.388406,1226,198.483108
4.746392,1226,199.189052
4.892745,1226,199.928017
4.551803,1226,201.137609
4.702429,1226,201.965954
4.356745,1226,202.649359
4.202347,1226,203.416754
4.677071,1226,204.541295
4.752939,1226,205.274104
4.736693,1226,206.067719
4.636542,1226,207.311633
4.779569,1226,208.111796
4.672422,1226,208.920177
4.502171,1226,210.062524
4.646046,1226,210.853491
4.758801,1226,211.713083
4.589478,1226,212.531061
4.84968,1226,213.797679
4.682939,1226,214.507929
4.879902,1226,215.27753
4.917263,1226,216.492411
4.780877,1226,217.246551
4.543408,1226,217.919834
4.836727,1226,219.020279
4.672919,1226,219.790915
4.626857,1226,220.629462
4.680553,1226,221.346869
4.714554,1226,222.633684
4.958257,1226,223.473813
4.853234,1226,224.224718
4.892978,1226,225.409756
5.04172,1226,226.264479
4.857955,1226,227.155503
4.997792,1226,228.419854
5.131534,1226,229.242326
4.907344,1226,229.978109
4.816707,1226,230.677979
5.181647,1226,231.832713
5.024329,1226,232.662966
4.989797,1226,233.559266
4.998059,1226,234.886816
5.019337,1226,235.645021
5.104264,1226,236.40309
5.149283,1226,237.58138
5.103873,1226,238.44099
5.054964,1226,239.302798
5.14296,1226,239.962287
5.119107,1226,241.014303
5.176838,1226,241.768565
5.153027,1226,242.429462
5.200506,1226,243.579652
5.34921,1226,244.237297
5.310496,1226,244.840169
5.438354,1226,245.91895
5.181582,1226,246.63245
5.171505,1226,247.269979
5.468425,1226,247.982504
5.163268,1226,249.213913
5.234395,1226,249.89871
5.35908,1226,250.582113
5.41269,1226,251.664306
5.427052,1226,252.371848
5.332662,1226,253.094152
5.270577,1226,254.240071
5.480613,1226,254.921059
5.264352,1226,255.648145
5.555807,1226,256.385039
5.50188,1226,257.490622
5.530709,1226,258.139076
5.588156,1226,258.830234
5.585947,1226,259.974755
5.326406,1226,260.645113
5.574754,1226,261.267451
5.476237,1226,261.883073
5.572847,1226,262.97062
5.488744,1226,263.629719
5.548678,1226,264.378358
5.627757,1226,265.443612
5.779938,1226,266.086552
5.651697,1226,266.779237
5.843165,1226,267.889633
5.532995,1226,268.596211
5.72166,1226,269.217551
5.462866,1226,269.963049
5.708048,1226,271.03941
5.632529,1226,271.687388
5.686009,1226,272.503554
5.787444,1226,273.63246
5.855376,1226,274.343875
5.928689,1226,275.122133
5.740046,1226,276.212326
5.942385,1226,276.914402
5.864263,1226,277.532503
5.874395,1226,278.23561
5.966538,1226,279.387197
5.950898,1226,280.056252
5.837195,1226,280.758746
6.149635,1226,281.793537
6.114667,1226,282.487396
5.900736,1226,283.144723
6.069152,1226,284.32091
5.894614,1226,285.006251
5.88001,1226,285.702663
6.142262,1226,286.326091
5.967093,1226,287.444057
5.773304,1226,288.057697
5.908902,1226,288.797935
5.989673,1226,289.87971
5.971675,1226,290.620899
5.823153,1226,291.288337
5.952901,1226,292.370055
5.952362,1226,292.997684
6.124475,1226,293.761729
6.07147,1226,294.523865
6.263762,1226,295.679037
6.120122,1226,296.361934
6.004406,1226,297.047728
6.271497,1226,298.324634
